source,file,ia_leaf,printed_page_and_content,has_ocr_text,ia_identifier,ia_url,note
Engler-1879-Monogr-Phan-2,Engler-1879-Monogr-Phan-2-leaf0290.jpg,290,269 C. afzelii,True,monographiphane02candgoog,https://archive.org/details/monographiphane02candgoog,p.268 genus heading
Engler-1879-Monogr-Phan-2,Engler-1879-Monogr-Phan-2-leaf0291.jpg,291,"270 C. senegalense, C. lasioides",True,monographiphane02candgoog,https://archive.org/details/monographiphane02candgoog,p.268 genus heading
Engler-1879-Monogr-Phan-2,Engler-1879-Monogr-Phan-2-leaf0292.jpg,292,"271 C. merkusii, var. intermedium, C. edule",True,monographiphane02candgoog,https://archive.org/details/monographiphane02candgoog,p.268 genus heading
Engler-1879-Monogr-Phan-2,Engler-1879-Monogr-Phan-2-leaf0293.jpg,293,272 sect. Polytomophyllum,True,monographiphane02candgoog,https://archive.org/details/monographiphane02candgoog,p.268 genus heading
Engler-1910-Nova-Guinea-8-1,Engler-1910-Nova-Guinea-8-1-leaf0270.jpg,270,249 C. merkusii record; C. giganteum protologue; C. macrotum record,True,novaguinearsul81lore,https://archive.org/details/novaguinearsul81lore,p.248
Engler-1910-Nova-Guinea-8-1,Engler-1910-Nova-Guinea-8-1-leaf0271.jpg,271,250 continuation (Homalomena),True,novaguinearsul81lore,https://archive.org/details/novaguinearsul81lore,p.248
Engler-1911-Pflanzenreich-IV-23C-Lasioideae,Engler-1911-Pflanzenreich-IV-23C-Lasioideae-leaf0019.jpg,19,14 tribe key; Cyrtosperma,True,daspflanzenreich48engluoft,https://archive.org/details/daspflanzenreich48engluoft,p.14 tribe key
Engler-1911-Pflanzenreich-IV-23C-Lasioideae,Engler-1911-Pflanzenreich-IV-23C-Lasioideae-leaf0020.jpg,20,"15 Cyrtosperma description, key",True,daspflanzenreich48engluoft,https://archive.org/details/daspflanzenreich48engluoft,p.14 tribe key
Engler-1911-Pflanzenreich-IV-23C-Lasioideae,Engler-1911-Pflanzenreich-IV-23C-Lasioideae-leaf0021.jpg,21,16 key,True,daspflanzenreich48engluoft,https://archive.org/details/daspflanzenreich48engluoft,p.14 tribe key
Engler-1911-Pflanzenreich-IV-23C-Lasioideae,Engler-1911-Pflanzenreich-IV-23C-Lasioideae-leaf0022.jpg,22,17 C. edule,True,daspflanzenreich48engluoft,https://archive.org/details/daspflanzenreich48engluoft,p.14 tribe key
Engler-1911-Pflanzenreich-IV-23C-Lasioideae,Engler-1911-Pflanzenreich-IV-23C-Lasioideae-leaf0023.jpg,23,18 fig. 6 (actually C. cuspidispathum per Hay),True,daspflanzenreich48engluoft,https://archive.org/details/daspflanzenreich48engluoft,p.14 tribe key
Engler-1911-Pflanzenreich-IV-23C-Lasioideae,Engler-1911-Pflanzenreich-IV-23C-Lasioideae-leaf0024.jpg,24,"19 C. johnstonii, C. lasioides",True,daspflanzenreich48engluoft,https://archive.org/details/daspflanzenreich48engluoft,p.14 tribe key
Engler-1911-Pflanzenreich-IV-23C-Lasioideae,Engler-1911-Pflanzenreich-IV-23C-Lasioideae-leaf0025.jpg,25,"20 C. merkusii, fig. 7",True,daspflanzenreich48engluoft,https://archive.org/details/daspflanzenreich48engluoft,p.14 tribe key
Engler-1911-Pflanzenreich-IV-23C-Lasioideae,Engler-1911-Pflanzenreich-IV-23C-Lasioideae-leaf0026.jpg,26,"21 C. angustilobum, C. ferox, var. intermedium",True,daspflanzenreich48engluoft,https://archive.org/details/daspflanzenreich48engluoft,p.14 tribe key
Engler-1911-Pflanzenreich-IV-23C-Lasioideae,Engler-1911-Pflanzenreich-IV-23C-Lasioideae-leaf0027.jpg,27,"22 C. macrotum, C. americanum fig. 8",True,daspflanzenreich48engluoft,https://archive.org/details/daspflanzenreich48engluoft,p.14 tribe key
Engler-1911-Pflanzenreich-IV-23C-Lasioideae,Engler-1911-Pflanzenreich-IV-23C-Lasioideae-leaf0028.jpg,28,23 C. spruceanum; Lasia,True,daspflanzenreich48engluoft,https://archive.org/details/daspflanzenreich48engluoft,p.14 tribe key
Engler-1911-Pflanzenreich-IV-23C-Lasioideae,Engler-1911-Pflanzenreich-IV-23C-Lasioideae-leaf0029.jpg,29,24 Lasia,True,daspflanzenreich48engluoft,https://archive.org/details/daspflanzenreich48engluoft,p.14 tribe key
Griffith-1851-Icones-Pl-Asiat-3,Griffith-1851-Icones-Pl-Asiat-3-leaf0083.jpg,83,t. 169 Cyrtosperma lasioides Griff. (plate),True,posthumouspapers03griff,https://archive.org/details/posthumouspapers03griff,Griffith 1851 Icones Plantarum Asiaticarum pt 3: t. 169 (leaf 83) Cyrtosperma lasioides; t. 173 (leaf 91) fig. 1a
Griffith-1851-Icones-Pl-Asiat-3,Griffith-1851-Icones-Pl-Asiat-3-leaf0091.jpg,91,"t. 173 (fig. 1a Cyrtosperma lasioides, per Hay)",True,posthumouspapers03griff,https://archive.org/details/posthumouspapers03griff,Griffith 1851 Icones Plantarum Asiaticarum pt 3: t. 169 (leaf 83) Cyrtosperma lasioides; t. 173 (leaf 91) fig. 1a
Griffith-1851-Notulae-3,Griffith-1851-Notulae-3-leaf0152.jpg,152,149 Cyrtosperma gen. nov. - Char. Generis (start; no OCR),False,wbsl.2486,https://archive.org/details/wbsl.2486,Griffith 1851 Notulae ad Plantas Asiaticas 3: 149-151 - protologue of Cyrtosperma and C. lasioides
Griffith-1851-Notulae-3,Griffith-1851-Notulae-3-leaf0153.jpg,153,150 Cyrtosperma lasioides (no OCR),False,wbsl.2486,https://archive.org/details/wbsl.2486,Griffith 1851 Notulae ad Plantas Asiaticas 3: 149-151 - protologue of Cyrtosperma and C. lasioides
Griffith-1851-Notulae-3,Griffith-1851-Notulae-3-leaf0154.jpg,154,151 continuation (no OCR),False,wbsl.2486,https://archive.org/details/wbsl.2486,Griffith 1851 Notulae ad Plantas Asiaticas 3: 149-151 - protologue of Cyrtosperma and C. lasioides
Hariri-2024-Webbia-79,Hariri-2024-Webbia-79-p291.jpg,,291 (rendered from PDF),True,,,
Hariri-2024-Webbia-79,Hariri-2024-Webbia-79-p292.jpg,,292 (rendered from PDF),True,,,
Hariri-2024-Webbia-79,Hariri-2024-Webbia-79-p293.jpg,,293 (rendered from PDF),True,,,
Hariri-2024-Webbia-79,Hariri-2024-Webbia-79-p294.jpg,,294 (rendered from PDF),True,,,
Hasskarl-1844-Cat-Hort-Bot-Bogor-alter,Hasskarl-1844-Cat-Hort-Bot-Bogor-alter-leaf0066.jpg,66,59 Lasia Merkusii Hsskl.,True,catalogusplantar00hass,https://archive.org/details/catalogusplantar00hass,Hasskarl 1844 Lasia merkusii p.59 (basionym of C. merkusii)
Hay-1988-Blumea-33,Hay-1988-Blumea-33-p427.jpg,,427 (rendered from PDF),True,,,
Hay-1988-Blumea-33,Hay-1988-Blumea-33-p428.jpg,,428 (rendered from PDF),True,,,
Hay-1988-Blumea-33,Hay-1988-Blumea-33-p429.jpg,,429 (rendered from PDF),True,,,
Hay-1988-Blumea-33,Hay-1988-Blumea-33-p430.jpg,,430 (rendered from PDF),True,,,
Hay-1988-Blumea-33,Hay-1988-Blumea-33-p431.jpg,,431 (rendered from PDF),True,,,
Hay-1988-Blumea-33,Hay-1988-Blumea-33-p432.jpg,,432 (rendered from PDF),True,,,
Hay-1988-Blumea-33,Hay-1988-Blumea-33-p433.jpg,,433 (rendered from PDF),True,,,
Hay-1988-Blumea-33,Hay-1988-Blumea-33-p434.jpg,,434 (rendered from PDF),True,,,
Hay-1988-Blumea-33,Hay-1988-Blumea-33-p435.jpg,,435 (rendered from PDF),True,,,
Hay-1988-Blumea-33,Hay-1988-Blumea-33-p436.jpg,,436 (rendered from PDF),True,,,
Hay-1988-Blumea-33,Hay-1988-Blumea-33-p437.jpg,,437 (rendered from PDF),True,,,
Hay-1988-Blumea-33,Hay-1988-Blumea-33-p438.jpg,,438 (rendered from PDF),True,,,
Hay-1988-Blumea-33,Hay-1988-Blumea-33-p439.jpg,,439 (rendered from PDF),True,,,
Hay-1988-Blumea-33,Hay-1988-Blumea-33-p440.jpg,,440 (rendered from PDF),True,,,
Hay-1988-Blumea-33,Hay-1988-Blumea-33-p441.jpg,,441 (rendered from PDF),True,,,
Hay-1988-Blumea-33,Hay-1988-Blumea-33-p442.jpg,,442 (rendered from PDF),True,,,
Hay-1988-Blumea-33,Hay-1988-Blumea-33-p443.jpg,,443 (rendered from PDF),True,,,
Hay-1988-Blumea-33,Hay-1988-Blumea-33-p444.jpg,,444 (rendered from PDF),True,,,
Hay-1988-Blumea-33,Hay-1988-Blumea-33-p445.jpg,,445 (rendered from PDF),True,,,
Hay-1988-Blumea-33,Hay-1988-Blumea-33-p446.jpg,,446 (rendered from PDF),True,,,
Hay-1988-Blumea-33,Hay-1988-Blumea-33-p447.jpg,,447 (rendered from PDF),True,,,
Hay-1988-Blumea-33,Hay-1988-Blumea-33-p448.jpg,,448 (rendered from PDF),True,,,
Hay-1988-Blumea-33,Hay-1988-Blumea-33-p449.jpg,,449 (rendered from PDF),True,,,
Hay-1988-Blumea-33,Hay-1988-Blumea-33-p450.jpg,,450 (rendered from PDF),True,,,
Hay-1988-Blumea-33,Hay-1988-Blumea-33-p451.jpg,,451 (rendered from PDF),True,,,
Hay-1988-Blumea-33,Hay-1988-Blumea-33-p452.jpg,,452 (rendered from PDF),True,,,
Hay-1988-Blumea-33,Hay-1988-Blumea-33-p453.jpg,,453 (rendered from PDF),True,,,
Hay-1988-Blumea-33,Hay-1988-Blumea-33-p454.jpg,,454 (rendered from PDF),True,,,
Hay-1988-Blumea-33,Hay-1988-Blumea-33-p455.jpg,,455 (rendered from PDF),True,,,
Hay-1988-Blumea-33,Hay-1988-Blumea-33-p456.jpg,,456 (rendered from PDF),True,,,
Hay-1988-Blumea-33,Hay-1988-Blumea-33-p457.jpg,,457 (rendered from PDF),True,,,
Hay-1988-Blumea-33,Hay-1988-Blumea-33-p458.jpg,,458 (rendered from PDF),True,,,
Hay-1988-Blumea-33,Hay-1988-Blumea-33-p459.jpg,,459 (rendered from PDF),True,,,
Hay-1988-Blumea-33,Hay-1988-Blumea-33-p460.jpg,,460 (rendered from PDF),True,,,
Hay-1988-Blumea-33,Hay-1988-Blumea-33-p461.jpg,,461 (rendered from PDF),True,,,
Hay-1988-Blumea-33,Hay-1988-Blumea-33-p462.jpg,,462 (rendered from PDF),True,,,
Hay-1988-Blumea-33,Hay-1988-Blumea-33-p463.jpg,,463 (rendered from PDF),True,,,
Hay-1988-Blumea-33,Hay-1988-Blumea-33-p464.jpg,,464 (rendered from PDF),True,,,
Hay-1988-Blumea-33,Hay-1988-Blumea-33-p465.jpg,,465 (rendered from PDF),True,,,
Hay-1988-Blumea-33,Hay-1988-Blumea-33-p466.jpg,,466 (rendered from PDF),True,,,
Hay-1988-Blumea-33,Hay-1988-Blumea-33-p467.jpg,,467 (rendered from PDF),True,,,
Hay-1988-Blumea-33,Hay-1988-Blumea-33-p468.jpg,,468 (rendered from PDF),True,,,
Hay-1988-Blumea-33,Hay-1988-Blumea-33-p469.jpg,,469 (rendered from PDF),True,,,
Linden-1900-Semaine-Hort-4,Linden-1900-Semaine-Hort-4-leaf0721.jpg,721,472 Cyrtosperma? congoensis text,True,mobot31753002632997,https://archive.org/details/mobot31753002632997,"L. Linden 1900 Cyrtosperma? congoensis, Semaine Hort. 4: 472-473, fig. 158"
Linden-1900-Semaine-Hort-4,Linden-1900-Semaine-Hort-4-leaf0722.jpg,722,473 fig. 158,True,mobot31753002632997,https://archive.org/details/mobot31753002632997,"L. Linden 1900 Cyrtosperma? congoensis, Semaine Hort. 4: 472-473, fig. 158"
Merrill-1914-Philipp-J-Sci-9C,Merrill-1914-Philipp-J-Sci-9C-leaf0076.jpg,76,65 Cyrtosperma chamissonis comb. nov.,True,philippinejourn91914phil,https://archive.org/details/philippinejourn91914phil,p.65
Moore-1933-Bishop-Mus-Bull-102,Moore-1933-Bishop-Mus-Bull-102-p023.jpg,,23 (rendered from PDF),True,,,
Moore-1933-Bishop-Mus-Bull-102,Moore-1933-Bishop-Mus-Bull-102-p052.jpg,,52 (rendered from PDF),True,,,
NE-Brown-1882-Gard-Chron-ns-18,NE-Brown-1882-Gard-Chron-ns-18-leaf0823.jpg,823,808 Cyrtosperma Johnstoni N.E.Br.,True,gardenerschronic18lond,https://archive.org/details/gardenerschronic18lond,p.808 candidates
NE-Brown-1884-Gard-Chron-ns-21,NE-Brown-1884-Gard-Chron-ns-21-leaf0724.jpg,724,711 New plants: Cyrtosperma matrieffiana,True,gardenerschronic21lond,https://archive.org/details/gardenerschronic21lond,p.711
Schott-1857-Bonplandia-5,Schott-1857-Bonplandia-5-leaf0130.jpg,130,125 Lasia synonymy; Cyrtosperma,True,mobot31753002212436,https://archive.org/details/mobot31753002212436,p.123?
Schott-1857-Bonplandia-5,Schott-1857-Bonplandia-5-leaf0131.jpg,131,126 Cyrtosperma; Lasimorpha,True,mobot31753002212436,https://archive.org/details/mobot31753002212436,p.123?
Schott-1857-Bonplandia-5,Schott-1857-Bonplandia-5-leaf0132.jpg,132,127 Lasimorpha senegalensis; Urospatha,True,mobot31753002212436,https://archive.org/details/mobot31753002212436,p.123?
Schott-1857-Bonplandia-5,Schott-1857-Bonplandia-5-leaf0133.jpg,133,128-129 Arisacontis Chamissonis; Lasinae synopsis,True,mobot31753002212436,https://archive.org/details/mobot31753002212436,p.123?
Schott-1858-Genera-Aroidearum,Schott-1858-Genera-Aroidearum-leaf0272.jpg,272,"84 Cyrtosperma Griffith - generic description, synonymy, etymology",True,mobot31753000312444,https://archive.org/details/mobot31753000312444,"Schott 1858 Genera Aroidearum: p. 84 Cyrtosperma (leaf 272), explicatio tabulae 84 (leaf 273), plate T. 84 Cyrtosperma lasioides (leaf 274)"
Schott-1858-Genera-Aroidearum,Schott-1858-Genera-Aroidearum-leaf0273.jpg,273,Explicatio tabulae 84 Cyrtosperma lasioides Griff.,True,mobot31753000312444,https://archive.org/details/mobot31753000312444,"Schott 1858 Genera Aroidearum: p. 84 Cyrtosperma (leaf 272), explicatio tabulae 84 (leaf 273), plate T. 84 Cyrtosperma lasioides (leaf 274)"
Schott-1858-Genera-Aroidearum,Schott-1858-Genera-Aroidearum-leaf0274.jpg,274,T. 84 Cyrtosperma lasioides (plate),True,mobot31753000312444,https://archive.org/details/mobot31753000312444,"Schott 1858 Genera Aroidearum: p. 84 Cyrtosperma (leaf 272), explicatio tabulae 84 (leaf 273), plate T. 84 Cyrtosperma lasioides (leaf 274)"
Schott-1861-Bonplandia-9,Schott-1861-Bonplandia-9-leaf0372.jpg,372,367 Cyrtosperma edulis S. (Seemann Fiji list),True,mobot31753002212477,https://archive.org/details/mobot31753002212477,"Seemann 1861 Fiji plant list in Bonplandia 9, with Schott's Cyrtosperma edule sp. nov. p.367"
Schott-1861-Bonplandia-9,Schott-1861-Bonplandia-9-leaf0373.jpg,373,368 continuation,True,mobot31753002212477,https://archive.org/details/mobot31753002212477,"Seemann 1861 Fiji plant list in Bonplandia 9, with Schott's Cyrtosperma edule sp. nov. p.367"
Schott-1864-Ann-Mus-Bot-Lugd-Bat-1,Schott-1864-Ann-Mus-Bot-Lugd-Bat-1-leaf0315.jpg,315,283 C. intermedium,False,mobot31753002764873,https://archive.org/details/mobot31753002764873,"Schott 1864 Araceae in Miquel Ann. Mus. Bot. Lugduno-Batavi 1: 284 - C. cuspidilobum, C. dubium, C. intermedium"
Schott-1864-Ann-Mus-Bot-Lugd-Bat-1,Schott-1864-Ann-Mus-Bot-Lugd-Bat-1-leaf0316.jpg,316,"284 C. cuspidilobum, C. dubium (Observ.)",False,mobot31753002764873,https://archive.org/details/mobot31753002764873,"Schott 1864 Araceae in Miquel Ann. Mus. Bot. Lugduno-Batavi 1: 284 - C. cuspidilobum, C. dubium, C. intermedium"
Schott-1864-Ann-Mus-Bot-Lugd-Bat-1,Schott-1864-Ann-Mus-Bot-Lugd-Bat-1-leaf0317.jpg,317,285 Pothos,False,mobot31753002764873,https://archive.org/details/mobot31753002764873,"Schott 1864 Araceae in Miquel Ann. Mus. Bot. Lugduno-Batavi 1: 284 - C. cuspidilobum, C. dubium, C. intermedium"
