species,observation_id,observation_url,photo_id,photo_url_original,licence,attribution,observer_login,observer_name,observed_on,place_guess,quality_grade,obscured,latitude,longitude,width,height,downloaded,file,size_obtained
Cyrtosperma merkusii,14827766,https://www.inaturalist.org/observations/14827766,22133378,https://static.inaturalist.org/photos/22133378/original.jpeg,all rights reserved,"(c) Sz-yi Tsai, all rights reserved",enfantterri,Sz-yi Tsai,2017-07-14,Kiribati,casual,False,1.8104660147,173.0290527861,1536,2048,yes,merkusii/inat-14827766-22133378-enfantterri.jpg,original
Cyrtosperma merkusii,15288793,https://www.inaturalist.org/observations/15288793,22885366,https://static.inaturalist.org/photos/22885366/original.jpg,all rights reserved,"(c) chriscacciapaglia, all rights reserved",chriscacciapaglia,,2018-06-30,"Kusaie, , Micronesia, FM",research,False,5.3338083333,162.9745633333,1536,2048,yes,merkusii/inat-15288793-22885366-chriscacciapaglia.jpg,original
Cyrtosperma merkusii,15881946,https://www.inaturalist.org/observations/15881946,23750843,https://inaturalist-open-data.s3.amazonaws.com/photos/23750843/original.jpg,cc-by,"(c) Greg III Espera, some rights reserved (CC BY)",greg3ph,Greg III Espera,2018-08-25,"Montevista, PH-CL, PH",research,False,7.6838119235,125.9898195417,1536,2048,yes,merkusii/inat-15881946-23750843-greg3ph.jpg,original
Cyrtosperma merkusii,17931634,https://www.inaturalist.org/observations/17931634,27396635,https://static.inaturalist.org/photos/27396635/original.jpg,all rights reserved,"(c) Hannah Tzeng, all rights reserved",holaa,Hannah Tzeng,2018-05-26,"As Teo Drive, , MP, MP",research,False,15.1930966667,145.7622533333,1536,2048,yes,merkusii/inat-17931634-27396635-holaa.jpg,original
Cyrtosperma merkusii,18588975,https://www.inaturalist.org/observations/18588975,28446261,https://inaturalist-open-data.s3.amazonaws.com/photos/28446261/original.jpg,cc-by,"(c) Ryan McMinds, some rights reserved (CC BY)",rmcminds,Ryan McMinds,2018-01-11,"Oikuul, Ngatpang, Palau",research,False,7.50464,134.546066,2048,1365,yes,merkusii/inat-18588975-28446261-rmcminds.jpg,original
Cyrtosperma cuspidispathum,30462449,https://www.inaturalist.org/observations/30462449,47594372,https://inaturalist-open-data.s3.amazonaws.com/photos/47594372/original.jpeg,cc-by-nc-sa,"(c) Yanuar Ishaq Dc, some rights reserved (CC BY-NC-SA)",yanuar_idc,Yanuar Ishaq Dc,2019-07-25,"Raja Ampat Regency, West Papua, Indonesia",needs_id,False,-0.453205254,130.6579849433,2048,1536,yes,cuspidispathum/inat-30462449-47594372-yanuar-idc.jpg,original
Cyrtosperma merkusii,43413327,https://www.inaturalist.org/observations/43413327,68884776,https://inaturalist-open-data.s3.amazonaws.com/photos/68884776/original.jpg,cc-by-nc,"(c) Troos van der Merwe, some rights reserved (CC BY-NC)",troos,Troos van der Merwe,2020-02-10,"Bukit Timah Road, Holland Village, Singapore, SG",casual,False,1.320005,103.816055,1536,2048,yes,merkusii/inat-43413327-68884776-troos.jpg,original
Cyrtosperma merkusii,57549176,https://www.inaturalist.org/observations/57549176,91804185,https://inaturalist-open-data.s3.amazonaws.com/photos/91804185/original.jpeg,cc-by-nc,"(c) Igor Azevedo, some rights reserved (CC BY-NC)",igorazevedo,Igor Azevedo,2008-11-03,"Sítio Roberto Burle Marx, Barra de Guaratiba, Rio de Janeiro - RJ, Brasil",casual,False,-23.0237664353,-43.546532306,1536,2048,yes,merkusii/inat-57549176-91804185-igorazevedo.jpg,original
Cyrtosperma merkusii,57549176,https://www.inaturalist.org/observations/57549176,91804169,https://inaturalist-open-data.s3.amazonaws.com/photos/91804169/original.jpeg,cc-by-nc,"(c) Igor Azevedo, some rights reserved (CC BY-NC)",igorazevedo,Igor Azevedo,2008-11-03,"Sítio Roberto Burle Marx, Barra de Guaratiba, Rio de Janeiro - RJ, Brasil",casual,False,-23.0237664353,-43.546532306,1536,2048,yes,merkusii/inat-57549176-91804169-igorazevedo.jpg,original
Cyrtosperma merkusii,57549176,https://www.inaturalist.org/observations/57549176,91804173,https://inaturalist-open-data.s3.amazonaws.com/photos/91804173/original.jpeg,cc-by-nc,"(c) Igor Azevedo, some rights reserved (CC BY-NC)",igorazevedo,Igor Azevedo,2008-11-03,"Sítio Roberto Burle Marx, Barra de Guaratiba, Rio de Janeiro - RJ, Brasil",casual,False,-23.0237664353,-43.546532306,1536,2048,yes,merkusii/inat-57549176-91804173-igorazevedo.jpg,original
Cyrtosperma merkusii,61833610,https://www.inaturalist.org/observations/61833610,98994033,https://static.inaturalist.org/photos/98994033/original.jpeg,all rights reserved,"(c) Donaly Ohry, all rights reserved",donalyohry,Donaly Ohry,2020-10-06,"Kolonia, Pohnpei, Federated States of Micronesia",casual,False,6.9565131997,158.2038547997,1536,2048,yes,merkusii/inat-61833610-98994033-donalyohry.jpg,original
Cyrtosperma merkusii,61833610,https://www.inaturalist.org/observations/61833610,98994100,https://static.inaturalist.org/photos/98994100/original.jpeg,all rights reserved,"(c) Donaly Ohry, all rights reserved",donalyohry,Donaly Ohry,2020-10-06,"Kolonia, Pohnpei, Federated States of Micronesia",casual,False,6.9565131997,158.2038547997,1536,2048,yes,merkusii/inat-61833610-98994100-donalyohry.jpg,original
Cyrtosperma merkusii,66268279,https://www.inaturalist.org/observations/66268279,106789041,https://inaturalist-open-data.s3.amazonaws.com/photos/106789041/original.jpeg,cc-by-nc,"(c) Jan Boaz, some rights reserved (CC BY-NC)",janiceboaz256,Jan Boaz,2020-12-08,"Mwalok, Pohnpei, Federated States of Micronesia",casual,False,6.9684958,158.1967395,1536,2048,yes,merkusii/inat-66268279-106789041-janiceboaz256.jpg,original
Cyrtosperma merkusii,66268279,https://www.inaturalist.org/observations/66268279,106789060,https://inaturalist-open-data.s3.amazonaws.com/photos/106789060/original.jpeg,cc-by-nc,"(c) Jan Boaz, some rights reserved (CC BY-NC)",janiceboaz256,Jan Boaz,2020-12-08,"Mwalok, Pohnpei, Federated States of Micronesia",casual,False,6.9684958,158.1967395,2048,1536,yes,merkusii/inat-66268279-106789060-janiceboaz256.jpg,original
Cyrtosperma merkusii,66268279,https://www.inaturalist.org/observations/66268279,106789089,https://inaturalist-open-data.s3.amazonaws.com/photos/106789089/original.jpeg,cc-by-nc,"(c) Jan Boaz, some rights reserved (CC BY-NC)",janiceboaz256,Jan Boaz,2020-12-08,"Mwalok, Pohnpei, Federated States of Micronesia",casual,False,6.9684958,158.1967395,1536,2048,yes,merkusii/inat-66268279-106789089-janiceboaz256.jpg,original
Cyrtosperma merkusii,66268279,https://www.inaturalist.org/observations/66268279,106789113,https://inaturalist-open-data.s3.amazonaws.com/photos/106789113/original.jpeg,cc-by-nc,"(c) Jan Boaz, some rights reserved (CC BY-NC)",janiceboaz256,Jan Boaz,2020-12-08,"Mwalok, Pohnpei, Federated States of Micronesia",casual,False,6.9684958,158.1967395,2048,1536,yes,merkusii/inat-66268279-106789113-janiceboaz256.jpg,original
Cyrtosperma merkusii,67780085,https://www.inaturalist.org/observations/67780085,109599531,https://inaturalist-open-data.s3.amazonaws.com/photos/109599531/original.jpeg,cc-by-sa,"(c) Ong Jyh Seng, some rights reserved (CC BY-SA)",ongzi,Ong Jyh Seng,2021-01-09,"Rizab Melayu Sungai Kuyoh, 43300 Seri Kembangan, Selangor, Malaysia",research,False,3.0160028889,101.6835250833,2048,1536,yes,merkusii/inat-67780085-109599531-ongzi.jpg,original
Cyrtosperma merkusii,67780085,https://www.inaturalist.org/observations/67780085,109599544,https://inaturalist-open-data.s3.amazonaws.com/photos/109599544/original.jpeg,cc-by-sa,"(c) Ong Jyh Seng, some rights reserved (CC BY-SA)",ongzi,Ong Jyh Seng,2021-01-09,"Rizab Melayu Sungai Kuyoh, 43300 Seri Kembangan, Selangor, Malaysia",research,False,3.0160028889,101.6835250833,2048,1536,yes,merkusii/inat-67780085-109599544-ongzi.jpg,original
Cyrtosperma merkusii,67780173,https://www.inaturalist.org/observations/67780173,109599666,https://inaturalist-open-data.s3.amazonaws.com/photos/109599666/original.jpeg,cc-by-sa,"(c) Ong Jyh Seng, some rights reserved (CC BY-SA)",ongzi,Ong Jyh Seng,2021-01-09,"Rizab Melayu Sungai Kuyoh, 43300 Seri Kembangan, Selangor, Malaysia",casual,False,3.0160028889,101.6835250833,2048,1536,yes,merkusii/inat-67780173-109599666-ongzi.jpg,original
Cyrtosperma johnstonii,69489256,https://www.inaturalist.org/observations/69489256,112761361,https://inaturalist-open-data.s3.amazonaws.com/photos/112761361/original.jpeg,cc-by-nc,"(c) SunGW, some rights reserved (CC BY-NC)",sunnyscience_sungw,SunGW,2021-02-13,Jacob Ballas Children's Garden,casual,False,1.3207603129,103.8179241121,1536,2048,yes,johnstonii/inat-69489256-112761361-sunnyscience-sungw.jpg,original
Cyrtosperma johnstonii,69489256,https://www.inaturalist.org/observations/69489256,112761368,https://inaturalist-open-data.s3.amazonaws.com/photos/112761368/original.jpeg,cc-by-nc,"(c) SunGW, some rights reserved (CC BY-NC)",sunnyscience_sungw,SunGW,2021-02-13,Jacob Ballas Children's Garden,casual,False,1.3207603129,103.8179241121,1536,2048,yes,johnstonii/inat-69489256-112761368-sunnyscience-sungw.jpg,original
Cyrtosperma cuspidispathum,70808404,https://www.inaturalist.org/observations/70808404,115180572,https://inaturalist-open-data.s3.amazonaws.com/photos/115180572/original.jpg,cc-by-nc,"(c) Mehd Halaouate, some rights reserved (CC BY-NC)",mehdh,Mehd Halaouate,2018-08-02,"Nimbotong, Beneik, Kec. Unurum Guay, Jayapura, Papua, Indonesien",research,False,-2.605065,140.0635069,649,900,yes,cuspidispathum/inat-70808404-115180572-mehdh.jpg,original
Cyrtosperma cuspidispathum,70808405,https://www.inaturalist.org/observations/70808405,115180579,https://inaturalist-open-data.s3.amazonaws.com/photos/115180579/original.jpg,cc-by-nc,"(c) Mehd Halaouate, some rights reserved (CC BY-NC)",mehdh,Mehd Halaouate,2018-08-02,"Nimbotong, Beneik, Kec. Unurum Guay, Jayapura, Papua, Indonesien",research,False,-2.605065,140.0635069,600,854,yes,cuspidispathum/inat-70808405-115180579-mehdh.jpg,original
Cyrtosperma merkusii,72125413,https://www.inaturalist.org/observations/72125413,117540590,https://inaturalist-open-data.s3.amazonaws.com/photos/117540590/original.jpg,cc-by-nc,"(c) James Park, some rights reserved (CC BY-NC)",jamesalexpark,James Park,2019-05-28,"Upper Thomson Road, Thomson, Singapore, SG",research,False,1.35127,103.8355333333,1536,2048,yes,merkusii/inat-72125413-117540590-jamesalexpark.jpg,original
Cyrtosperma merkusii,72142286,https://www.inaturalist.org/observations/72142286,117573746,https://inaturalist-open-data.s3.amazonaws.com/photos/117573746/original.jpeg,cc-by-nc,"(c) Ku Yan Ting 148647, some rights reserved (CC BY-NC)",ku_yan_ting148647,Ku Yan Ting 148647,2021-03-27,"Taman Pekaka, 11700 Gelugor, Pulau Pinang, Malaysia",casual,False,5.3515103017,100.297165242,1536,2048,yes,merkusii/inat-72142286-117573746-ku-yan-ting148647.jpg,original
Cyrtosperma,72142469,https://www.inaturalist.org/observations/72142469,117574042,https://inaturalist-open-data.s3.amazonaws.com/photos/117574042/original.jpeg,cc-by-nc,"(c) Khong Shi Mun 147524, some rights reserved (CC BY-NC)",khong_shi_mun147524,Khong Shi Mun 147524,2021-03-27,"Taman Pekaka, 11700 Gelugor, Pulau Pinang, Malaysia",casual,False,5.351646655,100.2972116321,1536,2048,yes,sp/inat-72142469-117574042-khong-shi-mun147524.jpg,original
Cyrtosperma merkusii,74157543,https://www.inaturalist.org/observations/74157543,121167390,https://inaturalist-open-data.s3.amazonaws.com/photos/121167390/original.jpg,cc-by-nc,"(c) James Park, some rights reserved (CC BY-NC)",jamesalexpark,James Park,2018-01-09,"Luzon Island, Morong, Bataan, PH",research,False,14.6331383333,120.34703,1536,2048,yes,merkusii/inat-74157543-121167390-jamesalexpark.jpg,original
Cyrtosperma merkusii,74157543,https://www.inaturalist.org/observations/74157543,121167408,https://inaturalist-open-data.s3.amazonaws.com/photos/121167408/original.jpg,cc-by-nc,"(c) James Park, some rights reserved (CC BY-NC)",jamesalexpark,James Park,2018-01-09,"Luzon Island, Morong, Bataan, PH",research,False,14.6331383333,120.34703,1536,2048,yes,merkusii/inat-74157543-121167408-jamesalexpark.jpg,original
Cyrtosperma merkusii,83927882,https://www.inaturalist.org/observations/83927882,137885374,https://inaturalist-open-data.s3.amazonaws.com/photos/137885374/original.jpg,cc-by,"(c) Bernard DUPONT, some rights reserved (CC BY)",berniedup,Bernard DUPONT,2014-09-24,"Niah Caves NP, Batu Niah, Sarawak, Malaysia",research,False,3.824861,113.765916,2048,1536,yes,merkusii/inat-83927882-137885374-berniedup.jpg,original
Cyrtosperma johnstonii,91846864,https://www.inaturalist.org/observations/91846864,151986786,https://inaturalist-open-data.s3.amazonaws.com/photos/151986786/original.jpeg,cc-by-nc-sa,"(c) Nuno Veríssimo P., some rights reserved (CC BY-NC-SA)",arkantor,Nuno Veríssimo P.,2014-06-18,"Meise (🇧🇪 België, Brabant)",casual,False,50.9359353,4.3294598,1536,2048,yes,johnstonii/inat-91846864-151986786-arkantor.jpg,original
Cyrtosperma johnstonii,91846864,https://www.inaturalist.org/observations/91846864,151986801,https://inaturalist-open-data.s3.amazonaws.com/photos/151986801/original.jpeg,cc-by-nc-sa,"(c) Nuno Veríssimo P., some rights reserved (CC BY-NC-SA)",arkantor,Nuno Veríssimo P.,2014-06-18,"Meise (🇧🇪 België, Brabant)",casual,False,50.9359353,4.3294598,1536,2048,yes,johnstonii/inat-91846864-151986801-arkantor.jpg,original
Cyrtosperma merkusii,95014826,https://www.inaturalist.org/observations/95014826,157686355,https://inaturalist-open-data.s3.amazonaws.com/photos/157686355/original.jpeg,cc-by-sa,"(c) Ong Jyh Seng, some rights reserved (CC BY-SA)",ongzi,Ong Jyh Seng,2021-09-16,"Rizab Melayu Sungai Kuyoh, 43300 Seri Kembangan, Selangor, Malaysia",research,False,3.0160027778,101.683525,2048,1536,yes,merkusii/inat-95014826-157686355-ongzi.jpg,original
Cyrtosperma,95553833,https://www.inaturalist.org/observations/95553833,158641881,https://static.inaturalist.org/photos/158641881/original.jpeg,all rights reserved,"(c) Hugo Bracero, all rights reserved",hugo422,Hugo Bracero,2021-09-18,,casual,False,,,1536,2048,yes,sp/inat-95553833-158641881-hugo422.jpg,original
Cyrtosperma johnstonii,96870072,https://www.inaturalist.org/observations/96870072,160995387,https://inaturalist-open-data.s3.amazonaws.com/photos/160995387/original.jpeg,cc-by-nc,"(c) SunGW, some rights reserved (CC BY-NC)",sunnyscience_sungw,SunGW,2021-10-02,"Queenstown, Singapore",research,False,1.279524,103.7979509722,1536,2048,yes,johnstonii/inat-96870072-160995387-sunnyscience-sungw.jpg,original
Cyrtosperma johnstonii,96870072,https://www.inaturalist.org/observations/96870072,160995393,https://inaturalist-open-data.s3.amazonaws.com/photos/160995393/original.jpeg,cc-by-nc,"(c) SunGW, some rights reserved (CC BY-NC)",sunnyscience_sungw,SunGW,2021-10-02,"Queenstown, Singapore",research,False,1.279524,103.7979509722,1536,2048,yes,johnstonii/inat-96870072-160995393-sunnyscience-sungw.jpg,original
Cyrtosperma johnstonii,96870072,https://www.inaturalist.org/observations/96870072,160995398,https://inaturalist-open-data.s3.amazonaws.com/photos/160995398/original.jpeg,cc-by-nc,"(c) SunGW, some rights reserved (CC BY-NC)",sunnyscience_sungw,SunGW,2021-10-02,"Queenstown, Singapore",research,False,1.279524,103.7979509722,1536,2048,yes,johnstonii/inat-96870072-160995398-sunnyscience-sungw.jpg,original
Cyrtosperma johnstonii,96870072,https://www.inaturalist.org/observations/96870072,160995407,https://inaturalist-open-data.s3.amazonaws.com/photos/160995407/original.jpeg,cc-by-nc,"(c) SunGW, some rights reserved (CC BY-NC)",sunnyscience_sungw,SunGW,2021-10-02,"Queenstown, Singapore",research,False,1.279524,103.7979509722,1536,2048,yes,johnstonii/inat-96870072-160995407-sunnyscience-sungw.jpg,original
Cyrtosperma merkusii,102597706,https://www.inaturalist.org/observations/102597706,171542401,https://inaturalist-open-data.s3.amazonaws.com/photos/171542401/original.jpg,cc-by-nc-sa,"(c) Aiman Azmi, some rights reserved (CC BY-NC-SA)",aiman_azmi,Aiman Azmi,2021-12-05,"Puchong, Petaling, Selangor, MY",research,False,2.9966828968,101.6331784019,1536,2048,yes,merkusii/inat-102597706-171542401-aiman-azmi.jpg,original
Cyrtosperma merkusii,102597706,https://www.inaturalist.org/observations/102597706,171542408,https://inaturalist-open-data.s3.amazonaws.com/photos/171542408/original.jpg,cc-by-nc-sa,"(c) Aiman Azmi, some rights reserved (CC BY-NC-SA)",aiman_azmi,Aiman Azmi,2021-12-05,"Puchong, Petaling, Selangor, MY",research,False,2.9966828968,101.6331784019,1536,2048,yes,merkusii/inat-102597706-171542408-aiman-azmi.jpg,original
Cyrtosperma merkusii,103445429,https://www.inaturalist.org/observations/103445429,173132692,https://inaturalist-open-data.s3.amazonaws.com/photos/173132692/original.jpg,cc-by-nc,"(c) Akmal Idham, some rights reserved (CC BY-NC)",akmal_idham,Akmal Idham,2021-12-21,"Bukit Raja, Bukit Raja, Selangor, MY",research,False,3.1125471667,101.4845116667,1536,2048,yes,merkusii/inat-103445429-173132692-akmal-idham.jpg,original
Cyrtosperma merkusii,103445429,https://www.inaturalist.org/observations/103445429,173132704,https://inaturalist-open-data.s3.amazonaws.com/photos/173132704/original.jpg,cc-by-nc,"(c) Akmal Idham, some rights reserved (CC BY-NC)",akmal_idham,Akmal Idham,2021-12-21,"Bukit Raja, Bukit Raja, Selangor, MY",research,False,3.1125471667,101.4845116667,1536,2048,yes,merkusii/inat-103445429-173132704-akmal-idham.jpg,original
Cyrtosperma merkusii,103445429,https://www.inaturalist.org/observations/103445429,173132725,https://inaturalist-open-data.s3.amazonaws.com/photos/173132725/original.jpg,cc-by-nc,"(c) Akmal Idham, some rights reserved (CC BY-NC)",akmal_idham,Akmal Idham,2021-12-21,"Bukit Raja, Bukit Raja, Selangor, MY",research,False,3.1125471667,101.4845116667,1536,2048,yes,merkusii/inat-103445429-173132725-akmal-idham.jpg,original
Cyrtosperma cuspidispathum,108690832,https://www.inaturalist.org/observations/108690832,183047839,https://inaturalist-open-data.s3.amazonaws.com/photos/183047839/original.jpg,cc-by-nc,"(c) Russell Cumming, some rights reserved (CC BY-NC)",russellcumming,Russell Cumming,2018-10-31,"Cairns QLD, Australia",casual,False,-16.8989666835,145.7475578785,999,1412,yes,cuspidispathum/inat-108690832-183047839-russellcumming.jpg,original
Cyrtosperma cuspidispathum,108690832,https://www.inaturalist.org/observations/108690832,183048492,https://inaturalist-open-data.s3.amazonaws.com/photos/183048492/original.jpg,cc-by-nc,"(c) Russell Cumming, some rights reserved (CC BY-NC)",russellcumming,Russell Cumming,2018-10-31,"Cairns QLD, Australia",casual,False,-16.8989666835,145.7475578785,1200,1067,yes,cuspidispathum/inat-108690832-183048492-russellcumming.jpg,original
Cyrtosperma cuspidispathum,108690832,https://www.inaturalist.org/observations/108690832,183048498,https://inaturalist-open-data.s3.amazonaws.com/photos/183048498/original.jpg,cc-by-nc,"(c) Russell Cumming, some rights reserved (CC BY-NC)",russellcumming,Russell Cumming,2018-10-31,"Cairns QLD, Australia",casual,False,-16.8989666835,145.7475578785,999,1433,yes,cuspidispathum/inat-108690832-183048498-russellcumming.jpg,original
Cyrtosperma cuspidispathum,108690832,https://www.inaturalist.org/observations/108690832,183048501,https://inaturalist-open-data.s3.amazonaws.com/photos/183048501/original.jpg,cc-by-nc,"(c) Russell Cumming, some rights reserved (CC BY-NC)",russellcumming,Russell Cumming,2018-10-31,"Cairns QLD, Australia",casual,False,-16.8989666835,145.7475578785,999,1319,yes,cuspidispathum/inat-108690832-183048501-russellcumming.jpg,original
Cyrtosperma cuspidispathum,108690832,https://www.inaturalist.org/observations/108690832,183048505,https://inaturalist-open-data.s3.amazonaws.com/photos/183048505/original.jpg,cc-by-nc,"(c) Russell Cumming, some rights reserved (CC BY-NC)",russellcumming,Russell Cumming,2018-10-31,"Cairns QLD, Australia",casual,False,-16.8989666835,145.7475578785,999,1342,yes,cuspidispathum/inat-108690832-183048505-russellcumming.jpg,original
Cyrtosperma cuspidispathum,108690832,https://www.inaturalist.org/observations/108690832,183048510,https://inaturalist-open-data.s3.amazonaws.com/photos/183048510/original.jpg,cc-by-nc,"(c) Russell Cumming, some rights reserved (CC BY-NC)",russellcumming,Russell Cumming,2018-10-31,"Cairns QLD, Australia",casual,False,-16.8989666835,145.7475578785,999,1358,yes,cuspidispathum/inat-108690832-183048510-russellcumming.jpg,original
Cyrtosperma cuspidispathum,108690832,https://www.inaturalist.org/observations/108690832,183048511,https://inaturalist-open-data.s3.amazonaws.com/photos/183048511/original.jpg,cc-by-nc,"(c) Russell Cumming, some rights reserved (CC BY-NC)",russellcumming,Russell Cumming,2018-10-31,"Cairns QLD, Australia",casual,False,-16.8989666835,145.7475578785,1111,1092,yes,cuspidispathum/inat-108690832-183048511-russellcumming.jpg,original
Cyrtosperma merkusii,113371262,https://www.inaturalist.org/observations/113371262,191556232,https://static.inaturalist.org/photos/191556232/original.jpeg,all rights reserved,"(c) Kierr Jasper Sancover, all rights reserved",curiosity,Kierr Jasper Sancover,2022-04-18,"Catalunan Pequeno Elementary School, Talomo, Davao City, Davao del Sur, Philippines",casual,False,7.05851,125.539077,960,1705,yes,merkusii/inat-113371262-191556232-curiosity.jpg,original
Cyrtosperma johnstonii,114599746,https://www.inaturalist.org/observations/114599746,193508954,https://static.inaturalist.org/photos/193508954/original.jpeg,all rights reserved,"(c) Kierr Jasper Sancover, all rights reserved",curiosity,Kierr Jasper Sancover,2022-05-02,Butuan City,casual,False,8.9475084903,125.5406232923,1152,2048,yes,johnstonii/inat-114599746-193508954-curiosity.jpg,original
Cyrtosperma johnstonii,114599746,https://www.inaturalist.org/observations/114599746,193508979,https://static.inaturalist.org/photos/193508979/original.jpeg,all rights reserved,"(c) Kierr Jasper Sancover, all rights reserved",curiosity,Kierr Jasper Sancover,2022-05-02,Butuan City,casual,False,8.9475084903,125.5406232923,1153,2048,yes,johnstonii/inat-114599746-193508979-curiosity.jpg,original
Cyrtosperma johnstonii,114599746,https://www.inaturalist.org/observations/114599746,193509015,https://static.inaturalist.org/photos/193509015/original.jpeg,all rights reserved,"(c) Kierr Jasper Sancover, all rights reserved",curiosity,Kierr Jasper Sancover,2022-05-02,Butuan City,casual,False,8.9475084903,125.5406232923,1153,2048,yes,johnstonii/inat-114599746-193509015-curiosity.jpg,original
Cyrtosperma johnstonii,114599746,https://www.inaturalist.org/observations/114599746,193509064,https://static.inaturalist.org/photos/193509064/original.jpeg,all rights reserved,"(c) Kierr Jasper Sancover, all rights reserved",curiosity,Kierr Jasper Sancover,2022-05-02,Butuan City,casual,False,8.9475084903,125.5406232923,1153,2048,yes,johnstonii/inat-114599746-193509064-curiosity.jpg,original
Cyrtosperma johnstonii,114599746,https://www.inaturalist.org/observations/114599746,193509103,https://static.inaturalist.org/photos/193509103/original.jpeg,all rights reserved,"(c) Kierr Jasper Sancover, all rights reserved",curiosity,Kierr Jasper Sancover,2022-05-02,Butuan City,casual,False,8.9475084903,125.5406232923,1153,2048,yes,johnstonii/inat-114599746-193509103-curiosity.jpg,original
Cyrtosperma johnstonii,114599746,https://www.inaturalist.org/observations/114599746,193509141,https://static.inaturalist.org/photos/193509141/original.jpeg,all rights reserved,"(c) Kierr Jasper Sancover, all rights reserved",curiosity,Kierr Jasper Sancover,2022-05-02,Butuan City,casual,False,8.9475084903,125.5406232923,1153,2048,yes,johnstonii/inat-114599746-193509141-curiosity.jpg,original
