NAME,AUTHORITY,RANK,YEAR,PROTOLOGUE,POWO STATUS,ACCEPTED NAME (POWO),RELATION,BASIONYM,TYPE / ORIGINAL REMARKS (IPNI),IPNI ID,IPNI URL,POWO URL,WCVP ID,SOURCES,NOTES
Cyrtosperma edule,Schott,species,1861,Bonplandia 9: 367 (1861),Synonym,Cyrtosperma merkusii (Hassk.) Schott,Cyrtosperma name sunk into an accepted Cyrtosperma species,,,86816-1,https://www.ipni.org/n/86816-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:86816-1,54879,IPNI; POWO/WCVP,
Cyrtosperma ferox,N.E.Br. & Linden,species,1892,Ill. Hort. xxxix. (1892) 39 t. 153; et ex Gard. Chron. (1892) ii. 123.,Synonym,Cyrtosperma merkusii (Hassk.) Schott,Cyrtosperma name sunk into an accepted Cyrtosperma species,,Borneo,86817-1,https://www.ipni.org/n/86817-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:86817-1,54880,IPNI; POWO/WCVP,IPNI authority 'N.E.Br. & L.Linden'
Cyrtosperma hastatum,Alderw.,species,1920,"Bull. Jard. Bot. Buitenzorg ser. III, i. 375 (1920).",Synonym,Cyrtosperma macrotum Becc. ex Engl.,Cyrtosperma name sunk into an accepted Cyrtosperma species,,N. Guin,86819-1,https://www.ipni.org/n/86819-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:86819-1,54884,IPNI; POWO/WCVP,
Cyrtosperma intermedium,Schott,species,1864,Ann. Mus. Bot. Lugduno-Batavi 1: 284 (1864),Synonym,Cyrtosperma merkusii (Hassk.) Schott,Cyrtosperma name sunk into an accepted Cyrtosperma species,,,86820-1,https://www.ipni.org/n/86820-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:86820-1,54885,IPNI; POWO/WCVP,
Cyrtosperma janowskyi,K.Krause,species,1924,Nova Guinea 14: 216 (1924),Synonym,Cyrtosperma macrotum Becc. ex Engl.,Cyrtosperma name sunk into an accepted Cyrtosperma species,,N. Guin,86821-1,https://www.ipni.org/n/86821-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:86821-1,54886,IPNI; POWO/WCVP,
Cyrtosperma lasioides,Griff.,species,1851,"Not. Pl. Asiat. 3: 150, 1851; Icon. Pl. Asiat. t. 169. 1851",Synonym,Cyrtosperma merkusii (Hassk.) Schott,Cyrtosperma name sunk into an accepted Cyrtosperma species,,Malaya,86823-1,https://www.ipni.org/n/86823-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:86823-1,54889,IPNI; POWO/WCVP,
Cyrtosperma matrieffianum,hort.,species,1884,"Gard. Chron. n.s., 21: 711 (1884)",Not in POWO,,IPNI record only,,Sumatra,86825-1,https://www.ipni.org/n/86825-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:86825-1,,IPNI,
Cyrtosperma matvieffianum,N.E.Br.,species,1884,"Gard. Chron. n.s., 21: 711 (1884)",Unplaced,,Cyrtosperma name POWO leaves unplaced,,,77239646-1,https://www.ipni.org/n/77239646-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77239646-1,54891,IPNI; POWO/WCVP,
Cyrtosperma merkusii var. giganteum,Nadeaud,variety,1897,J. Bot. (Morot) 11: 116 (1897),Synonym,Cyrtosperma merkusii (Hassk.) Schott,Cyrtosperma name sunk into an accepted Cyrtosperma species,,,77273030-1,https://www.ipni.org/n/77273030-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77273030-1,54893,IPNI; POWO/WCVP,
Cyrtosperma merkusii var. intermedium,(Schott) Engl.,variety,1879,Monogr. Phan. [A.DC. & C.DC.] 2: 271 (1879),Synonym,Cyrtosperma merkusii (Hassk.) Schott,Cyrtosperma name sunk into an accepted Cyrtosperma species,Cyrtosperma intermedium Schott,,77273550-1,https://www.ipni.org/n/77273550-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77273550-1,54894,IPNI; POWO/WCVP,
Cyrtosperma nadeaudianum,J.W.Moore,species,1933,Bull. Bernice P. Bishop Mus. 102: 22 (1933),Synonym,Cyrtosperma merkusii (Hassk.) Schott,Cyrtosperma name sunk into an accepted Cyrtosperma species,,C. Merkusii var. gigantea Nadeaud,86827-1,https://www.ipni.org/n/86827-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:86827-1,54895,IPNI; POWO/WCVP,
Cyrtosperma senegalense,(Schott) Engl.,species,1879,Monogr. Phan. [A.DC. & C.DC.] 2: 270 (1879),Synonym,Lasimorpha senegalensis Schott,Cyrtosperma name now accepted in another genus,Lasimorpha senegalensis Schott,Afr. trop,86828-1,https://www.ipni.org/n/86828-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:86828-1,54896,IPNI; POWO/WCVP,
Cyrtosperma spruceanum,(Schott) Engl.,species,1878,Fl. Bras. 3(2): 118 (1878),Synonym,Dracontium spruceanum (Schott) G.H.Zhu,Cyrtosperma name now accepted in another genus,Echidnium spruceanum Schott,Bras,86829-1,https://www.ipni.org/n/86829-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:86829-1,54897,IPNI; POWO/WCVP,
Cyrtosperma spruceanum,Schott,species,1878,Fl. Bras. 3(2): 118 (1878),Not in POWO,,IPNI record only,,,1176336-2,https://www.ipni.org/n/1176336-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:1176336-2,,IPNI,
Cyrtosperma subulispathum,Alderw.,species,1920,"Bull. Jard. Bot. Buitenzorg ser. III, i. 375 (1920)",Synonym,Cyrtosperma macrotum Becc. ex Engl.,Cyrtosperma name sunk into an accepted Cyrtosperma species,,N. Guin,86830-1,https://www.ipni.org/n/86830-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:86830-1,54898,IPNI; POWO/WCVP,
Cyrtosperma syapense,Alderw.,species,1920,"Bull. Jard. Bot. Buitenzorg ser. III, i. 374 (1920).",Synonym,Cyrtosperma macrotum Becc. ex Engl.,Cyrtosperma name sunk into an accepted Cyrtosperma species,,N. Guin,86831-1,https://www.ipni.org/n/86831-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:86831-1,54899,IPNI; POWO/WCVP,
Cyrtosperma wurdackii,G.S.Bunting,species,1975,Acta Bot. Venez. 10: 285 (-286) (1975),Synonym,Urospatha wurdackii (G.S.Bunting) A.Hay,Cyrtosperma name now accepted in another genus,,,275633-2,https://www.ipni.org/n/275633-2,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:275633-2,54900,IPNI; POWO/WCVP,
Alocasia johnstonii,W.Bull ex T.Moore & Mast.,species,1876,"Gard. Chron. n.s., 5: 603 (1876)",Synonym,Cyrtosperma johnstonii (W.Bull ex T.Moore & Mast.) N.E.Br.,name from another genus sunk into an accepted Cyrtosperma species,,,77160599-1,https://www.ipni.org/n/77160599-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77160599-1,6758,IPNI; POWO/WCVP,
Arisacontis chamissonis,Schott,species,1857,Bonplandia 5: 129 (1857),Synonym,Cyrtosperma merkusii (Hassk.) Schott,name from another genus sunk into an accepted Cyrtosperma species,,Ins. Radack,85551-1,https://www.ipni.org/n/85551-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:85551-1,15220,IPNI; POWO/WCVP,
Lasia merkusii,Hassk.,species,1844,Cat. Hort. Bot. Bogor. (Hasskarl) 59 (1844),Synonym,Cyrtosperma merkusii (Hassk.) Schott,name from another genus sunk into an accepted Cyrtosperma species,,,87416-1,https://www.ipni.org/n/87416-1,https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:87416-1,108421,IPNI; POWO/WCVP,
